Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:48:40
============================================================
Порт 10000: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9999: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9998: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9997: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9996: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9995: CLOSED     | Сервис: Unknown         | Время: 1.516 сек
Порт  9994: CLOSED     | Сервис: Unknown         | Время: 1.516 сек
Порт  9993: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9992: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9991: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9990: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9989: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9988: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9987: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9986: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9985: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9984: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9983: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9982: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9981: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9980: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9979: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9978: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9977: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9976: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9975: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9974: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9973: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9972: CLOSED     | Сервис: Unknown         | Время: 1.508 сек
Порт  9971: CLOSED     | Сервис: Unknown         | Время: 1.508 сек
Порт  9970: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9969: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9968: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9967: CLOSED     | Сервис: Unknown         | Время: 1.508 сек
Порт  9966: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9965: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9964: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9963: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9962: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9961: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9960: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9959: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9958: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9957: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9956: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9955: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9954: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9953: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9952: CLOSED     | Сервис: Unknown         | Время: 1.516 сек
Порт  9951: CLOSED     | Сервис: Unknown         | Время: 1.516 сек
Порт  9950: CLOSED     | Сервис: Unknown         | Время: 1.516 сек
Порт  9949: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9948: CLOSED     | Сервис: Unknown         | Время: 1.517 сек
Порт  9947: CLOSED     | Сервис: Unknown         | Время: 1.517 сек
Порт  9946: CLOSED     | Сервис: Unknown         | Время: 1.517 сек
Порт  9945: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9944: CLOSED     | Сервис: Unknown         | Время: 1.518 сек
Порт  9943: CLOSED     | Сервис: Unknown         | Время: 1.500 сек
Порт  9942: CLOSED     | Сервис: Unknown         | Время: 1.500 сек
Порт  9941: CLOSED     | Сервис: Unknown         | Время: 1.500 сек
Порт  9940: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9939: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9938: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9937: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9936: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9935: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9934: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9933: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9932: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9931: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9930: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9929: CLOSED     | Сервис: Unknown         | Время: 1.504 сек
Порт  9928: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9927: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9926: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9925: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9924: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9923: CLOSED     | Сервис: Unknown         | Время: 1.506 сек
Порт  9922: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9921: CLOSED     | Сервис: Unknown         | Время: 1.507 сек
Порт  9920: CLOSED     | Сервис: Unknown         | Время: 1.508 сек
Порт  9919: CLOSED     | Сервис: Unknown         | Время: 1.508 сек
Порт  9918: CLOSED     | Сервис: Unknown         | Время: 1.508 сек
Порт  9917: CLOSED     | Сервис: Unknown         | Время: 1.508 сек
Порт  9916: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9915: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9914: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9913: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9912: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9911: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9910: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9909: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9908: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9907: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9906: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9905: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9904: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9903: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9902: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9901: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9900: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9899: CLOSED     | Сервис: Unknown         | Время: 1.509 сек
Порт  9898: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9897: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9896: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9895: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9894: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9893: CLOSED     | Сервис: Unknown         | Время: 1.510 сек
Порт  9892: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9891: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9890: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9889: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9888: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9887: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9886: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9885: CLOSED     | Сервис: Unknown         | Время: 1.516 сек
Порт  9884: CLOSED     | Сервис: Unknown         | Время: 1.516 сек
