Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:20:46
============================================================
Порт   443: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт   442: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   441: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   440: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   439: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   438: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   437: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   436: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   435: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   434: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   433: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   432: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   431: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   430: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   429: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   428: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   427: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   426: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   425: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   424: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   423: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   422: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   421: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   420: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   419: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   418: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   417: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   416: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   415: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   414: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   413: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   412: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт   411: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   410: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   409: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   408: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   407: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   406: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   405: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   404: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   403: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   402: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   401: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт   400: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   399: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   398: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
