Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:43:29
============================================================
Порт   100: CLOSED     | Сервис: Unknown         | Время: 1.008 сек
Порт    99: CLOSED     | Сервис: Unknown         | Время: 1.008 сек
Порт    98: CLOSED     | Сервис: Unknown         | Время: 1.008 сек
Порт    97: CLOSED     | Сервис: Unknown         | Время: 1.008 сек
Порт    96: CLOSED     | Сервис: Unknown         | Время: 1.008 сек
Порт    95: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    94: CLOSED     | Сервис: Unknown         | Время: 1.008 сек
Порт    93: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    92: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    91: CLOSED     | Сервис: Unknown         | Время: 1.011 сек
Порт    90: CLOSED     | Сервис: Unknown         | Время: 1.006 сек
Порт    89: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    88: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    87: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    86: CLOSED     | Сервис: Unknown         | Время: 1.012 сек
Порт    85: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    84: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    83: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    82: CLOSED     | Сервис: Unknown         | Время: 1.013 сек
Порт    81: CLOSED     | Сервис: Unknown         | Время: 1.013 сек
Порт    80: CLOSED     | Сервис: Unknown         | Время: 1.008 сек
Порт    79: CLOSED     | Сервис: Unknown         | Время: 1.008 сек
Порт    78: CLOSED     | Сервис: Unknown         | Время: 1.008 сек
Порт    77: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    76: CLOSED     | Сервис: Unknown         | Время: 1.012 сек
Порт    75: CLOSED     | Сервис: Unknown         | Время: 1.012 сек
Порт    74: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    73: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    72: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    71: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    70: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    69: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    68: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    67: CLOSED     | Сервис: Unknown         | Время: 1.013 сек
Порт    66: CLOSED     | Сервис: Unknown         | Время: 1.015 сек
Порт    65: CLOSED     | Сервис: Unknown         | Время: 1.011 сек
Порт    64: CLOSED     | Сервис: Unknown         | Время: 1.011 сек
Порт    63: CLOSED     | Сервис: Unknown         | Время: 1.011 сек
Порт    62: CLOSED     | Сервис: Unknown         | Время: 1.016 сек
Порт    61: CLOSED     | Сервис: Unknown         | Время: 1.016 сек
Порт    60: CLOSED     | Сервис: Unknown         | Время: 1.016 сек
Порт    59: CLOSED     | Сервис: Unknown         | Время: 1.015 сек
Порт    58: CLOSED     | Сервис: Unknown         | Время: 1.012 сек
Порт    57: CLOSED     | Сервис: Unknown         | Время: 1.017 сек
Порт    56: CLOSED     | Сервис: Unknown         | Время: 1.013 сек
Порт    55: CLOSED     | Сервис: Unknown         | Время: 1.013 сек
Порт    54: CLOSED     | Сервис: Unknown         | Время: 1.016 сек
Порт    53: CLOSED     | Сервис: Unknown         | Время: 1.017 сек
Порт    52: CLOSED     | Сервис: Unknown         | Время: 1.017 сек
Порт    51: CLOSED     | Сервис: Unknown         | Время: 1.015 сек
Порт    50: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    49: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    48: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    47: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    46: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    45: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    44: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    43: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    42: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    41: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    40: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    39: CLOSED     | Сервис: Unknown         | Время: 1.011 сек
Порт    38: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    37: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    36: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    35: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    34: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    33: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    32: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    31: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    30: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    29: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    28: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    27: CLOSED     | Сервис: Unknown         | Время: 1.007 сек
Порт    26: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    25: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    24: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    23: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    22: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    21: OPEN       | Сервис: FTP             | Время: 0.062 сек
Порт    20: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    19: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    18: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    17: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    16: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    15: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    14: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    13: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    12: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт    11: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт    10: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт     9: CLOSED     | Сервис: Unknown         | Время: 1.009 сек
Порт     8: CLOSED     | Сервис: Unknown         | Время: 1.013 сек
Порт     7: CLOSED     | Сервис: Unknown         | Время: 1.014 сек
Порт     6: CLOSED     | Сервис: Unknown         | Время: 1.010 сек
Порт     5: CLOSED     | Сервис: Unknown         | Время: 1.012 сек
