Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:52:11
============================================================
Порт  3389: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3388: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3387: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3386: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3385: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3384: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3383: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3382: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3381: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3380: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3379: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3378: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3377: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3376: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3375: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3374: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3373: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3372: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3371: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3370: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3369: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3368: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3367: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3366: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3365: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3364: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3363: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3362: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3361: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3360: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3359: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3358: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3357: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3356: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3355: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3354: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3353: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3352: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3351: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3350: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3349: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3348: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3347: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3346: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт  3345: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3344: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3343: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт  3342: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3341: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт  3340: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3339: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3338: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3337: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3336: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3335: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3334: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт  3333: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3332: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3331: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3330: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3329: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3328: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3327: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3326: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3325: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3324: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3323: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3322: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3321: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3320: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3319: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3318: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3317: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3316: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3315: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3314: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3313: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3312: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3311: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3310: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3309: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3308: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3307: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3306: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3305: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3304: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3303: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3302: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3301: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3300: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3299: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3298: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3297: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3296: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3295: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3294: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3293: CLOSED     | Сервис: Unknown         | Время: 2.019 сек
Порт  3292: CLOSED     | Сервис: Unknown         | Время: 2.019 сек
Порт  3291: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3290: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3289: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3288: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт  3287: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3286: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3285: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3284: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт  3283: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3282: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3281: CLOSED     | Сервис: Unknown         | Время: 2.022 сек
Порт  3280: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3279: CLOSED     | Сервис: Unknown         | Время: 2.000 сек
Порт  3278: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт  3277: CLOSED     | Сервис: Unknown         | Время: 2.000 сек
Порт  3276: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт  3275: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3274: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3273: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3272: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3271: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3270: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3269: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3268: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3267: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3266: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3265: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3264: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3263: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3262: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3261: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3260: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3259: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3258: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3257: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3256: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3255: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3254: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт  3253: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3252: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3251: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3250: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3249: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3248: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3247: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3246: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3245: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3244: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3243: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3242: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3241: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3240: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3239: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3238: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3237: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3236: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3235: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3234: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3233: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3232: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3231: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3230: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3229: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3228: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3227: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3226: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт  3225: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3224: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3223: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3222: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3221: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3220: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3219: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3218: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3217: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт  3216: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт  3215: CLOSED     | Сервис: Unknown         | Время: 2.000 сек
Порт  3214: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт  3213: CLOSED     | Сервис: Unknown         | Время: 2.000 сек
Порт  3212: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт  3211: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт  3210: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3209: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3208: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3207: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3206: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3205: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3204: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3203: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3202: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3201: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3200: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3199: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3198: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3197: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3196: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3195: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3194: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3193: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3192: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3191: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3190: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3189: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3188: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3187: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3186: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3185: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3184: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3183: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3182: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3181: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3180: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3179: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3178: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт  3177: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт  3176: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт  3175: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт  3174: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт  3173: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3172: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3171: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3170: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3169: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3168: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт  3167: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт  3166: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт  3165: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3164: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3163: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3162: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3161: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3160: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт  3159: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт  3158: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3157: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт  3156: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3155: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3154: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3153: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт  3152: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт  3151: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт  3150: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3149: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3148: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3147: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3146: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3145: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3144: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3143: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3142: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3141: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3140: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3139: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3138: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3137: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3136: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3135: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3134: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3133: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3132: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3131: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3130: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3129: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3128: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3127: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3126: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт  3125: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3124: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3123: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
